Species,MSW2,MSW3,Country,native,Family,Genus,sex,PM4,CsupL,Lat,Long,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Ohio,native,Mustelidae,Mustela,Male,3.17,1.19,40.25,-82.87,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Ohio,native,Mustelidae,Mustela,Female,3.21,1.19,41.40,-82.60,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.66,1.19,58.42,15.62,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Oregon,native,Mustelidae,Mustela,Female,3.06,1.20,43.25,-123.17,,,,
Mustela erminea,Mustela erminea,Mustela erminea,California,native,Mustelidae,Mustela,Female,3.13,1.20,41.23,-122.38,,,,
Mustela erminea,Mustela erminea,Mustela erminea,California,native,Mustelidae,Mustela,Female,3.14,1.20,41.15,-122.97,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,3.14,1.20,46.97,-121.73,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Minnesota,native,Mustelidae,Mustela,Female,3.60,1.20,45.27,-93.23,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Male,2.85,1.20,48.32,-96.02,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Female,3.02,1.20,48.77,-95.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,North Western Teritorries,native,Mustelidae,Mustela,Male,3.03,1.20,62.83,-116.06,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.10,1.20,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Male,3.12,1.20,44.00,-96.25,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Michigan,native,Mustelidae,Mustela,Female,3.14,1.20,42.67,-84.17,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.14,1.20,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Russia,native,Mustelidae,Mustela,Female,3.16,1.20,59.92,30.25,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.25,1.20,58.42,15.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Ohio,native,Mustelidae,Mustela,Female,3.26,1.20,41.00,-83.75,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.27,1.20,63.60,15.35,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Wyoming,native,Mustelidae,Mustela,Female,3.09,1.21,43.95,-110.40,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Nevada,native,Mustelidae,Mustela,Male,3.37,1.21,39.22,-113.92,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,North Western Teritorries,native,Mustelidae,Mustela,Female,2.92,1.21,68.22,-135.00,,,,
